チラシ入稿ID,Shufoo!店舗ID(必須),先方店舗名,掲載開始日時(必須),掲載終了日時(必須),チラシタイトル(必須),チラシ画像ファイル（１ページ目）,チラシ画像ファイル（２ページ目）,チラシ画像ファイル（３ページ目）,チラシ画像ファイル（４ページ目）,チラシ画像ファイル（５ページ目）,チラシ画像ファイル（６ページ目）,チラシ画像ファイル（７ページ目）,チラシ画像ファイル（８ページ目）,チラシ画像ファイル（９ページ目）,チラシ画像ファイル（１０ページ目）,チラシ画像ファイル（１１ページ目）,チラシ画像ファイル（１２ページ目）,チラシ画像ファイル（１３ページ目）,チラシ画像ファイル（１４ページ目）,チラシ画像ファイル（１５ページ目）,チラシ画像ファイル（１６ページ目）,ページスタイル,ページの開き方,掲載期間表示有無
20250221,881827,お菓子のデパートよしや　ユニバーサルシティ駅前店,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881828,お菓子のデパートよしや　春日出店,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881829,お菓子のデパートよしや　九条営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881834,お菓子のデパートよしや　天満営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881842,お菓子のデパートよしや　心斎橋営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881843,お菓子のデパートよしや　南千里営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881845,お菓子のデパートよしや　金剛営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881848,お菓子のデパートよしや　河内長野営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881852,お菓子のデパートよしや　四条河原町営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881853,お菓子のデパートよしや　出町営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881855,お菓子のデパートよしや　アステ川西店,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881858,お菓子のデパートよしや　尼崎営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881859,お菓子のデパートよしや　神田営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881860,お菓子のデパートよしや　元町営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881861,お菓子のデパートよしや　伊丹営業所,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
20250221,881864,お菓子のデパートよしや　とれとれ市場店,2026/8/6 19:00,2026/8/8 15:00,8月第1週,8.7-8.JPG,,,,,,,,,,,,,,,,1,,N
