チラシ入稿ID,Shufoo!店舗ID(必須),先方店舗名,掲載開始日時(必須),掲載終了日時(必須),チラシタイトル(必須),チラシ画像ファイル（１ページ目）,チラシ画像ファイル（２ページ目）,チラシ画像ファイル（３ページ目）,チラシ画像ファイル（４ページ目）,チラシ画像ファイル（５ページ目）,チラシ画像ファイル（６ページ目）,チラシ画像ファイル（７ページ目）,チラシ画像ファイル（８ページ目）,チラシ画像ファイル（９ページ目）,チラシ画像ファイル（１０ページ目）,チラシ画像ファイル（１１ページ目）,チラシ画像ファイル（１２ページ目）,チラシ画像ファイル（１３ページ目）,チラシ画像ファイル（１４ページ目）,チラシ画像ファイル（１５ページ目）,チラシ画像ファイル（１６ページ目）,ページスタイル,ページの開き方,掲載期間表示有無
20251009,881840,やすい！桃谷店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251009,881857,やすい！姫路美幸通り店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251009,881838,やすい！京橋店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251009,881835,やすい！淡路店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251009,881832,やすい！泉尾店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251009,881831,やすい！塚本店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251010,881830,やすい！　四貫島店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251011,881847,お菓子のデパートよしや　布施営業所,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251010,881851,お菓子のデパートよしや　伏見営業所,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251018,881863,お菓子のデパートよしや　天理店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【天ミ】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251019,907938,やすい！　空堀店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251020,881865,お菓子のデパートよしや　ミ・ナーラ店,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【天ミ】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
20251021,881837,お菓子のデパートよしや　三国営業所,2026/7/30 19:00,2026/8/2 15:00,7月第5週,【やすい！】7月5週目.JPG,,,,,,,,,,,,,,,,1,,N
